battery_id,model_name,number_of_discharge_cycles,number_of_train_cycles,number_of_test_cycles,number_of_train_rows,number_of_test_rows,train_rmse_v,test_rmse_v,train_mae_v,test_mae_v,baseline_intercept,coef_soc,coef_soc_squared,coef_soc_cubed,coef_discharge_current_a
B0007,mlp_hybrid_residual_without_temperature,168,117,51,33972,14663,0.02973846942951535,0.07672851157973246,0.009120794307875357,0.03880938527728041,3.0805061059365957,3.338782017072852,-5.99324575168769,3.7745867777476634,-0.07448445184714975
B0007,temperature_aware_hybrid_residual,168,117,51,33972,14663,0.007604397434099968,0.0397094902778942,0.0023579432648795895,0.01784257386447935,3.0805061059365957,3.338782017072852,-5.99324575168769,3.7745867777476634,-0.07448445184714975
B0018,physics_inspired_baseline,132,92,40,24596,7659,0.06763496691192199,0.08358452358708897,0.04138185971679869,0.05758729235735529,3.154114679196484,2.8251123506785754,-4.908798091800172,3.1183004002760075,-0.08705731685505885
B0018,hybrid_residual_without_temperature,132,92,40,24596,7659,0.00668908700070195,0.018578868693403205,0.0024583121963985904,0.010558682291898634,3.154114679196484,2.8251123506785754,-4.908798091800172,3.1183004002760075,-0.08705731685505885
B0018,mlp_hybrid_residual_without_temperature,132,92,40,24596,7659,0.01564948477313758,0.028345654120555033,0.005412030871804257,0.01569970339991062,3.154114679196484,2.8251123506785754,-4.908798091800172,3.1183004002760075,-0.08705731685505885
B0018,temperature_aware_hybrid_residual,132,92,40,24596,7659,0.004845193013558393,0.018271264400510683,0.0021874999962335864,0.010986482719200672,3.154114679196484,2.8251123506785754,-4.908798091800172,3.1183004002760075,-0.08705731685505885
B0025,physics_inspired_baseline,28,19,9,6047,2617,0.08742614486786739,0.0899020137953782,0.045777878894899614,0.045975164985442796,3.242209534968119,2.7048927212936675,-4.798685919953095,3.0665264036934707,-0.10515143980701286
B0025,hybrid_residual_without_temperature,28,19,9,6047,2617,0.006676720331096075,0.026118567012459817,0.00236390850596564,0.006874775021739341,3.242209534968119,2.7048927212936675,-4.798685919953095,3.0665264036934707,-0.10515143980701286
B0025,mlp_hybrid_residual_without_temperature,28,19,9,6047,2617,0.023727994249131353,0.05906518534427056,0.010925475141040152,0.04125752097078198,3.242209534968119,2.7048927212936675,-4.798685919953095,3.0665264036934707,-0.10515143980701286
B0025,temperature_aware_hybrid_residual,28,19,9,6047,2617,0.007015985095276244,0.0373421509265033,0.0023880429671469736,0.008949529966064082,3.242209534968119,2.7048927212936675,-4.798685919953095,3.0665264036934707,-0.10515143980701286
B0026,physics_inspired_baseline,28,19,9,5857,2599,0.07973853235722025,0.08232396567662173,0.0446119782502738,0.043312026416421116,3.263173908325489,2.5494794926607303,-4.4990290140412945,2.8701539400152933,-0.10748518420711595
B0026,hybrid_residual_without_temperature,28,19,9,5857,2599,0.00768245044210818,0.030231726889168472,0.0030366880606578386,0.007041195170437189,3.263173908325489,2.5494794926607303,-4.4990290140412945,2.8701539400152933,-0.10748518420711595
B0026,mlp_hybrid_residual_without_temperature,28,19,9,5857,2599,0.04401379903771403,0.06866741152747259,0.017203712372290444,0.03657204164489596,3.263173908325489,2.5494794926607303,-4.4990290140412945,2.8701539400152933,-0.10748518420711595
B0026,temperature_aware_hybrid_residual,28,19,9,5857,2599,0.007914344887462201,0.03232847849481379,0.0030982791839912495,0.009223466572835768,3.263173908325489,2.5494794926607303,-4.4990290140412945,2.8701539400152933,-0.10748518420711595
B0027,physics_inspired_baseline,28,19,9,6069,2657,0.04266539225054071,0.04133590486489468,0.027171806435684575,0.025297201513864356,3.3968761709641413,1.5949691222898,-2.575092717958942,1.7642226829526702,-0.15371271228439015
B0027,hybrid_residual_without_temperature,28,19,9,6069,2657,0.004143482303231826,0.01691065765998882,0.0024809942606307464,0.010344479282821336,3.3968761709641413,1.5949691222898,-2.575092717958942,1.7642226829526702,-0.15371271228439015
B0027,mlp_hybrid_residual_without_temperature,28,19,9,6069,2657,0.011020486862714238,0.06136625578182891,0.006249221772274274,0.04268636859219678,3.3968761709641413,1.5949691222898,-2.575092717958942,1.7642226829526702,-0.15371271228439015
B0027,temperature_aware_hybrid_residual,28,19,9,6069,2657,0.004209793912923285,0.018608240762104628,0.0024992555166337494,0.011071205066883022,3.3968761709641413,1.5949691222898,-2.575092717958942,1.7642226829526702,-0.15371271228439015
B0028,physics_inspired_baseline,28,19,9,11399,4939,0.050319821374336896,0.051149856219434624,0.03079063489947824,0.030905209270002145,3.3365966597610663,2.1086493186484336,-3.5473096771699675,2.307916585183776,-0.10762683046651257
B0028,hybrid_residual_without_temperature,28,19,9,11399,4939,0.0022212211418693602,0.005454234830816822,0.0013641553749582415,0.003111987544185019,3.3365966597610663,2.1086493186484336,-3.5473096771699675,2.307916585183776,-0.10762683046651257
B0028,mlp_hybrid_residual_without_temperature,28,19,9,11399,4939,0.011183533598147645,0.032425158777360685,0.005478765955915802,0.022794628492217174,3.3365966597610663,2.1086493186484336,-3.5473096771699675,2.307916585183776,-0.10762683046651257
B0028,temperature_aware_hybrid_residual,28,19,9,11399,4939,0.002048705023935217,0.005354522820525541,0.0012299262340884991,0.0029415665772751644,3.3365966597610663,2.1086493186484336,-3.5473096771699675,2.307916585183776,-0.10762683046651257
B0029,physics_inspired_baseline,40,28,12,4567,1693,0.1061495521639303,0.10484025411983754,0.057603077886085395,0.05707482591003566,2.9844234282766284,3.6660834269860034,-6.786446680379234,4.308546547353626,-0.055293096100689
B0029,hybrid_residual_without_temperature,40,28,12,4567,1693,0.009707759436110195,0.02674989482608156,0.0027320711594571024,0.009215078497465742,2.9844234282766284,3.6660834269860034,-6.786446680379234,4.308546547353626,-0.055293096100689
B0029,mlp_hybrid_residual_without_temperature,40,28,12,4567,1693,0.031783917711594854,0.050972833361925915,0.011228672182563992,0.028496288368308767,2.9844234282766284,3.6660834269860034,-6.786446680379234,4.308546547353626,-0.055293096100689
B0029,temperature_aware_hybrid_residual,40,28,12,4567,1693,0.005205848968205321,0.012357008785104715,0.001944652372661476,0.007089893980128627,2.9844234282766284,3.6660834269860034,-6.786446680379234,4.308546547353626,-0.055293096100689
B0030,physics_inspired_baseline,40,28,12,4389,1630,0.0861210997991182,0.0925994957449001,0.04821337448016557,0.04892401696027679,3.0648061040105925,3.392964091511506,-6.263378535603708,3.9915534638685646,-0.06851224658487709
B0030,hybrid_residual_without_temperature,40,28,12,4389,1630,0.010736581221201255,0.03822047893210809,0.002772682592659644,0.009217547411484135,3.0648061040105925,3.392964091511506,-6.263378535603708,3.9915534638685646,-0.06851224658487709
B0030,mlp_hybrid_residual_without_temperature,40,28,12,4389,1630,0.03466328022036971,0.06408046713341442,0.01158068407106311,0.03371668074572249,3.0648061040105925,3.392964091511506,-6.263378535603708,3.9915534638685646,-0.06851224658487709
B0030,temperature_aware_hybrid_residual,40,28,12,4389,1630,0.004626065352014194,0.013341158695802364,0.0018009214242120427,0.005392061099727083,3.0648061040105925,3.392964091511506,-6.263378535603708,3.9915534638685646,-0.06851224658487709
B0031,physics_inspired_baseline,40,28,12,4587,1739,0.0630163237429148,0.06393448616666242,0.03859895174633185,0.03854549928107044,3.1686516765283295,2.820196189732466,-5.106780740074993,3.3175787840623965,-0.07240175371740687
B0031,hybrid_residual_without_temperature,40,28,12,4587,1739,0.005757517095244565,0.019322419644126208,0.002420232361026596,0.004714728277986047,3.1686516765283295,2.820196189732466,-5.106780740074993,3.3175787840623965,-0.07240175371740687
B0031,mlp_hybrid_residual_without_temperature,40,28,12,4587,1739,0.021067298410275225,0.05740341562049666,0.010635271991199886,0.037429776649716286,3.1686516765283295,2.820196189732466,-5.106780740074993,3.3175787840623965,-0.07240175371740687
B0031,temperature_aware_hybrid_residual,40,28,12,4587,1739,0.0034325665773829767,0.008758294212935738,0.0019289548860589561,0.0036881155875824094,3.1686516765283295,2.820196189732466,-5.106780740074993,3.3175787840623965,-0.07240175371740687
B0032,physics_inspired_baseline,40,28,12,4583,1701,0.03439022850837509,0.034687672936781364,0.022320203503577725,0.022528449953123822,3.2410432188416514,2.1329327946795416,-3.6465202296347794,2.4547695955320266,-0.08955950650721733
B0032,hybrid_residual_without_temperature,40,28,12,4583,1701,0.0023131155889234618,0.007461203934834488,0.001506455509472518,0.005797880883701926,3.2410432188416514,2.1329327946795416,-3.6465202296347794,2.4547695955320266,-0.08955950650721733
B0032,mlp_hybrid_residual_without_temperature,40,28,12,4583,1701,0.009443689480167593,0.03978789283793822,0.005075754951587478,0.027843321516876404,3.2410432188416514,2.1329327946795416,-3.6465202296347794,2.4547695955320266,-0.08955950650721733
B0032,temperature_aware_hybrid_residual,40,28,12,4583,1701,0.0023322798277022475,0.007281186006262246,0.0015448452823493746,0.005630201960821823,3.2410432188416514,2.1329327946795416,-3.6465202296347794,2.4547695955320266,-0.08955950650721733
B0033,physics_inspired_baseline,197,137,60,16525,4817,0.10591874687850568,0.13207367566179698,0.06838950662032735,0.08378078625759622,3.1380698509560276,2.9103115389882133,-5.448230032156733,3.571299361273973,-0.14507833894859767
