battery_id,discharge_index,number_of_steps,baseline_rmse_v,hybrid_rmse_v,mlp_hybrid_rmse_v,temperature_hybrid_rmse_v,baseline_mae_v,hybrid_mae_v,mlp_hybrid_mae_v,temperature_hybrid_mae_v,hybrid_rmse_improvement_v,mlp_rmse_improvement_v,mlp_vs_rf_rmse_gain_v,temperature_rmse_gain_v,hybrid_mae_improvement_v,mlp_mae_improvement_v,mlp_vs_rf_mae_gain_v,temperature_mae_gain_v
B0005,139,260,0.0788765906480086,0.018252353161394383,0.03395174446104215,0.0183292152164846,0.06703419659525839,0.017394844645811383,0.025114669718571167,0.01747187664005374,0.06062423748661422,0.044924846186966454,-0.015699391299647765,-7.686205509021757e-05,0.049639351949447005,0.04191952687668722,-0.007719825072759784,-7.703199424235682e-05
B0005,140,259,0.08258797272008979,0.021920450769807878,0.033574077970503345,0.022760676664261893,0.07079162340294702,0.020990411707675925,0.02490187570331516,0.021803920931547944,0.06066752195028191,0.049013894749586444,-0.011653627200695467,-0.0008402258944540143,0.049801211695271096,0.04588974769963186,-0.003911463995639235,-0.0008135092238720186
B0005,141,258,0.08395801515727493,0.023724021126854657,0.03505449962436768,0.02500212487522902,0.07286412103169145,0.022851754737401943,0.02585437069658442,0.02402055124840159,0.06023399403042027,0.04890351553290725,-0.011330478497513022,-0.0012781037483743617,0.0500123662942895,0.04700975033510703,-0.0030026159591824766,-0.001168796510999645
B0005,142,258,0.08272125130182365,0.02223567277649121,0.03771679386598427,0.022547326973569093,0.0713566501244841,0.021332177331439973,0.027832294604938145,0.02163421332064377,0.060485578525332435,0.045004457435839376,-0.01548112108949306,-0.0003116541970778833,0.050024472793044124,0.04352435551954595,-0.006500117273498172,-0.00030203598920379784
B0005,143,257,0.08066054265696965,0.021260293398957627,0.041945746619763996,0.02151072308343466,0.07033179756635283,0.02035821030374605,0.03042307561882209,0.020560676191159706,0.05940024925801202,0.03871479603720565,-0.02068545322080637,-0.000250429684477034,0.049973587262606776,0.039908721947530736,-0.010064865315076041,-0.00020246588741365534
B0005,144,256,0.08482749945645769,0.0250240753849471,0.04122998256936348,0.02599351668746885,0.07431625432016353,0.02410965393903397,0.03033160762484474,0.025010257909019222,0.0598034240715106,0.04359751688709421,-0.01620590718441638,-0.0009694413025217521,0.05020660038112956,0.04398464669531879,-0.006221953685810768,-0.0009006039699852517
B0005,145,255,0.08624061710644161,0.027179910487976484,0.04315231645294287,0.02920300704501936,0.07658695055402033,0.026168229782235538,0.031451771382940634,0.02796500257274864,0.05906070661846513,0.043088300653498744,-0.015972405964966383,-0.0020230965570428756,0.05041872077178479,0.045135179171079697,-0.005283541600705096,-0.0017967727905131015
B0005,146,254,0.08545492813108138,0.027521168670652643,0.04697269403162676,0.02982625340635174,0.07670020732681664,0.02657067859552562,0.033488328042199325,0.028487357510337024,0.05793375946042874,0.03848223409945462,-0.019451525360974116,-0.0023050847356990978,0.05012952873129102,0.04321187928461731,-0.006917649446673706,-0.0019166789148114052
B0005,147,254,0.08376760351342705,0.02559115569415526,0.04947215471113948,0.026513968222096177,0.07477324114844268,0.024607879328204393,0.03526491719656766,0.025411617494416085,0.05817644781927179,0.03429544880228757,-0.02388099901698422,-0.0009228125279409187,0.050165361820238286,0.03950832395187502,-0.010657037868363264,-0.000803738166211692
B0005,148,254,0.08722024512197835,0.02768599031476278,0.04835021066718812,0.028631409521316785,0.07710964246271992,0.02662184221596568,0.03540904066567207,0.027494298946272405,0.05953425480721557,0.038870034454790224,-0.020664220352425343,-0.000945419206554006,0.05048780024675424,0.041700601797047855,-0.00878719844970639,-0.0008724567303067254
B0005,149,255,0.08808102030472684,0.02980913126006726,0.04859418339230662,0.032602131077016705,0.07951386791434532,0.029203991331369993,0.035166330221467326,0.031656452189031466,0.058271889044659575,0.03948683691242022,-0.01878505213223936,-0.0027929998169494465,0.05030987658297533,0.044347537692878,-0.005962338890097334,-0.002452460857661473
B0005,150,262,0.07688713596793059,0.01575064558209979,0.05701500602455295,0.016160660101771106,0.06396986931516156,0.014696989571675869,0.042442575831475766,0.01505094443352912,0.0611364903858308,0.019872129943377642,-0.04126436044245316,-0.0004100145196713166,0.049272879743485695,0.021527293483685796,-0.0277455862597999,-0.00035395486185325203
B0005,151,258,0.07862119422952113,0.019192405159765433,0.05869595345532894,0.019779669497718175,0.06818163101695285,0.01833587350342665,0.04255291226356822,0.01881279802626875,0.0594287890697557,0.019925240774192186,-0.03950354829556351,-0.0005872643379527427,0.0498457575135262,0.025628718753384627,-0.02421703876014157,-0.0004769245228420996
B0005,152,256,0.07980946249127086,0.021793702441296827,0.06089062440428552,0.023001215206768254,0.07054673209579457,0.020954921947453034,0.04350914269340429,0.021944366786780564,0.058015760049974024,0.018918838086985336,-0.039096921962988695,-0.0012075127654714267,0.049591810148341534,0.027037589402390275,-0.02255422074595126,-0.0009894448393275301
B0005,153,255,0.08201495919080867,0.023823864639562067,0.06161158072954236,0.025328347112249343,0.0728833892958575,0.022908308754301193,0.04406266593944993,0.02413349180229779,0.0581910945512466,0.02040337846126631,-0.0377877160899803,-0.0015044824726872762,0.049975080541556305,0.02882072335640757,-0.021154357185148735,-0.0012251830479965975
B0005,154,254,0.08478671708864344,0.026330265993428668,0.061823047193306155,0.028023573600568254,0.0756689469724756,0.025343442795910158,0.044348031922114124,0.026753020194254594,0.05845645109521477,0.022963669895337283,-0.03549278119987749,-0.0016933076071395867,0.05032550417656544,0.03132091505036148,-0.019004589126203966,-0.001409577398344436
B0005,155,253,0.08487237687071003,0.02733594621224088,0.06446679235969718,0.029129528404066896,0.07632335915254888,0.026345046890531413,0.04570948575142414,0.027838299388125622,0.057536430658469154,0.020405584511012848,-0.037130846147456306,-0.0017935821918260153,0.049978312262017474,0.030613873401124744,-0.019364438860892726,-0.0014932524975942094
B0005,156,253,0.08796215359982218,0.02893469870278784,0.06350646151954818,0.030639237132416366,0.07849785018615982,0.027800149522757615,0.04579671800994796,0.029263000597335973,0.05902745489703434,0.024455692080273997,-0.034571762816760346,-0.0017045384296285257,0.050697700663402206,0.03270113217621186,-0.017996568487190345,-0.0014628510745783585
B0005,157,252,0.08829988554319533,0.029964323825569142,0.06584369609875707,0.03188392710085836,0.07947047413019862,0.02877836566033172,0.046998923259464656,0.030392063728266968,0.05833556171762619,0.022456189444438265,-0.03587937227318792,-0.0019196032752892209,0.050692108469866895,0.03247155087073396,-0.018220557599132936,-0.001613698067935248
B0005,158,251,0.08768758190232544,0.030548529787475426,0.06889002667457353,0.0325071115795236,0.07955780161764688,0.02937466984406431,0.048425103673392395,0.031021388897878432,0.057139052114850014,0.018797555227751908,-0.038341496887098106,-0.0019585817920481745,0.050183131773582565,0.03113269794425448,-0.019050433829328084,-0.0016467190538141212
B0005,159,251,0.09038485562663913,0.03180917569920265,0.06781374185759029,0.03345238132597697,0.08132700379940079,0.030542809181357707,0.048326221096454895,0.03197030938087639,0.05857567992743648,0.022571113769048842,-0.03600456615838764,-0.0016432056267743217,0.05078419461804308,0.033000782702945895,-0.017783411915097188,-0.001427500199518681
B0005,160,251,0.09355044628221221,0.03379246311306979,0.06661749929355754,0.03513271238679347,0.08343859300312843,0.032541630927342864,0.04813279333077652,0.03376563417756341,0.059757983169142416,0.02693294698865467,-0.032825036180487745,-0.0013402492737236774,0.05089696207578557,0.035305799672351916,-0.015591162403433653,-0.001224003250220547
B0005,161,250,0.09096058993550371,0.03266677685601409,0.07111131145179558,0.03398972284854299,0.08218768290279134,0.03126102874733012,0.050222490123904305,0.03242114487383555,0.05829381307948962,0.019849278483708127,-0.038444534595781496,-0.0013229459925289053,0.05092665415546122,0.031965192778887035,-0.018961461376574187,-0.0011601161265054338
B0005,162,250,0.09516177536321013,0.035588434808884274,0.06920298992558228,0.03709546615211724,0.08527218170092009,0.03428605558636273,0.049767567555452405,0.03566199856260485,0.05957334055432586,0.02595878543762785,-0.03361455511669801,-0.0015070313432329688,0.050986126114557356,0.03550461414546768,-0.015481511969089673,-0.00137594297624212
B0005,163,249,0.09293256803260808,0.03458762311624783,0.073498467472416,0.03614494371502809,0.08417494935676278,0.033066326011415965,0.051697419693737826,0.03441525894239009,0.05834494491636025,0.019434100560192083,-0.038910844356168164,-0.0015573205987802624,0.05110862334534682,0.03247752966302496,-0.01863109368232186,-0.0013489329309741213
B0005,164,248,0.09140558083964415,0.03437810686001328,0.07683343817387513,0.035781801872802485,0.08344191003576887,0.03294575785153311,0.05331240068287822,0.034171232051110285,0.057027473979630865,0.01457214266576902,-0.042455331313861845,-0.0014036950127892037,0.05049615218423576,0.030129509352890646,-0.020366642831345115,-0.0012254741995771784
B0005,165,248,0.09308865806194482,0.035178261033141485,0.07706189216716024,0.03646066690762146,0.0847053536394874,0.033595047857351644,0.05364609996214425,0.03473326667202556,0.05791039702880333,0.016026765894784578,-0.04188363113401875,-0.001282405874479975,0.05111030578213576,0.031059253677343156,-0.020051052104792605,-0.001138218814673915
B0005,166,252,0.08346483167922317,0.024937821117927052,0.08300657794290546,0.025179320136971127,0.07438616059372248,0.02391242511002732,0.0569603207472243,0.024126043952259972,0.05852701056129611,0.00045825373631770694,-0.058068756824978404,-0.00024149901904407453,0.05047373548369516,0.017425839846498183,-0.033047895637196976,-0.00021361884223265043
B0005,167,255,0.0802835209068094,0.0195244465116393,0.08929744199639265,0.019868170478504078,0.06809871129507196,0.017856585057469506,0.062306648906482034,0.018171085539943753,0.0607590743951701,-0.009013921089583252,-0.06977299548475335,-0.0003437239668647764,0.05024212623760245,0.005792062388589925,-0.044450063849012525,-0.00031450048247424686
B0006,117,264,0.09674719621028431,0.00895990809870019,0.016249849569347278,0.011360135068817598,0.08592470341247627,0.003097626221521932,0.007023961151848224,0.003525502577239013,0.08778728811158412,0.08049734664093704,-0.0072899414706470884,-0.0024002269701174084,0.08282707719095433,0.07890074226062804,-0.003926334930326292,-0.000427876355717081
B0006,118,264,0.09785199847474901,0.015026014955535762,0.022644557388432934,0.01670920206951864,0.08426976537143642,0.0055326804171851604,0.010224689941506427,0.006614027301629034,0.08282598351921325,0.07520744108631608,-0.007618542432897172,-0.0016831871139828779,0.07873708495425126,0.07404507542993,-0.0046920095243212665,-0.0010813468844438736
B0006,119,269,0.09273363670682405,0.013332833615141737,0.019628591568793662,0.012041306773877252,0.07970039442768333,0.008790560747929704,0.011110486864301264,0.009465547989621946,0.07940080309168232,0.07310504513803039,-0.006295757953651926,0.0012915268412644846,0.07090983367975362,0.06858990756338207,-0.00231992611637156,-0.0006749872416922428
B0006,120,273,0.08431069511454847,0.019353416997295817,0.027390706100337406,0.020999796817204163,0.06911086463380638,0.015907735953172335,0.018471605450094644,0.0168737307249146,0.06495727811725266,0.05691998901421107,-0.008037289103041589,-0.001646379819908346,0.05320312868063404,0.05063925918371173,-0.0025638694969223087,-0.0009659947717422651
B0006,121,269,0.09360495152536863,0.017877509390354263,0.02745218082566564,0.014638809472508228,0.07838635960628051,0.009824786563288024,0.01573795745110138,0.009982300232317904,0.07572744213501437,0.06615277069970299,-0.009574671435311377,0.0032386999178460347,0.06856157304299249,0.06264840215517914,-0.005913170887813355,-0.00015751366902987986
B0006,122,266,0.09673282627570934,0.008514675294743259,0.02258527894340625,0.004694820724490607,0.08475308470440271,0.0028374233997103247,0.013404435398202146,0.002888051508079691,0.08821815098096608,0.07414754733230308,-0.01407060364866299,0.0038198545702526517,0.08191566130469238,0.07134864930620057,-0.010567011998491822,-5.0628108369366476e-05
B0006,123,265,0.10193332560365893,0.01291665906331738,0.02732007172175609,0.011399109252719093,0.08789002841690262,0.003910303479718297,0.01554343356458028,0.003535038213137536,0.08901666654034156,0.07461325388190285,-0.01440341265843871,0.0015175498105982864,0.08397972493718432,0.07234659485232234,-0.011633130084861984,0.00037526526658076056
B0006,124,263,0.10169938507178759,0.01069210020604979,0.024070432835195308,0.009878080289862713,0.09023950125713305,0.004392534052377732,0.015693657761564152,0.0037748359780462953,0.09100728486573781,0.07762895223659229,-0.013378332629145518,0.0008140199161870768,0.08584696720475532,0.07454584349556889,-0.01130112370918642,0.0006176980743314371
B0006,125,262,0.10424350852938144,0.009682642178909545,0.025453440303236055,0.008081799463151667,0.09259058963625333,0.00584545726902252,0.016882377092110233,0.005219435109340281,0.0945608663504719,0.07879006822614538,-0.01577079812432651,0.0016008427157578782,0.0867451323672308,0.07570821254414309,-0.011036919823087714,0.0006260221596822383
B0006,126,261,0.10545826951016553,0.01648113040000453,0.029993773349907365,0.011183868662063494,0.09300045473629956,0.007697474102536764,0.019977096189067803,0.006535600464220476,0.088977139110161,0.07546449616025816,-0.013512642949902835,0.005297261737941036,0.08530298063376279,0.07302335854723176,-0.01227962208653104,0.0011618736383162877
B0006,127,260,0.10765662116706282,0.01673322805785599,0.031177378563601716,0.01527419940803923,0.09549100469400497,0.009154089636888333,0.021587553238752274,0.008608859908672746,0.09092339310920683,0.0764792426034611,-0.014444150505745726,0.0014590286498167605,0.08633691505711663,0.07390345145525269,-0.012433463601863941,0.0005452297282155863
